Gene	TPM	Tissue	Source
BRCA1	1.69257	adipose_subcutaneous	GTEx.v10
BRCA1	1.55924	adipose_subcutaneous	GTEx.v10
BRCA1	1.26275	adipose_subcutaneous	GTEx.v10
BRCA1	0.780017	adipose_subcutaneous	GTEx.v10
BRCA1	1.11945	adipose_subcutaneous	GTEx.v10
BRCA1	1.54284	adipose_subcutaneous	GTEx.v10
BRCA1	1.17177	adipose_subcutaneous	GTEx.v10
BRCA1	0.61943	adipose_subcutaneous	GTEx.v10
BRCA1	2.71563	adipose_subcutaneous	GTEx.v10
BRCA1	2.25717	adipose_subcutaneous	GTEx.v10
BRCA1	1.19315	adipose_subcutaneous	GTEx.v10
BRCA1	2.38949	adipose_subcutaneous	GTEx.v10
BRCA1	1.86079	adipose_subcutaneous	GTEx.v10
BRCA1	1.25564	adipose_subcutaneous	GTEx.v10
BRCA1	0.968164	adipose_subcutaneous	GTEx.v10
BRCA1	3.16437	adipose_subcutaneous	GTEx.v10
BRCA1	1.24447	adipose_subcutaneous	GTEx.v10
BRCA1	1.40896	adipose_subcutaneous	GTEx.v10
BRCA1	1.35766	adipose_subcutaneous	GTEx.v10
BRCA1	1.26391	adipose_subcutaneous	GTEx.v10
BRCA1	2.69509	adipose_subcutaneous	GTEx.v10
BRCA1	2.24172	adipose_subcutaneous	GTEx.v10
BRCA1	1.75988	adipose_subcutaneous	GTEx.v10
BRCA1	0.906926	adipose_subcutaneous	GTEx.v10
BRCA1	3.76483	adipose_subcutaneous	GTEx.v10
BRCA1	2.37395	adipose_subcutaneous	GTEx.v10
BRCA1	1.42873	adipose_subcutaneous	GTEx.v10
BRCA1	2.36578	adipose_subcutaneous	GTEx.v10
BRCA1	0.974188	adipose_subcutaneous	GTEx.v10
BRCA1	1.20083	adipose_subcutaneous	GTEx.v10
BRCA1	2.91555	adipose_subcutaneous	GTEx.v10
BRCA1	1.7916	adipose_subcutaneous	GTEx.v10
BRCA1	1.28524	adipose_subcutaneous	GTEx.v10
BRCA1	1.19922	adipose_subcutaneous	GTEx.v10
BRCA1	0.865961	adipose_subcutaneous	GTEx.v10
BRCA1	2.03759	adipose_subcutaneous	GTEx.v10
BRCA1	1.44546	adipose_subcutaneous	GTEx.v10
BRCA1	0.966606	adipose_subcutaneous	GTEx.v10
BRCA1	1.2265	adipose_subcutaneous	GTEx.v10
BRCA1	2.92306	adipose_subcutaneous	GTEx.v10
BRCA1	1.49756	adipose_subcutaneous	GTEx.v10
BRCA1	1.26739	adipose_subcutaneous	GTEx.v10
BRCA1	2.04837	adipose_subcutaneous	GTEx.v10
BRCA1	0.861839	adipose_subcutaneous	GTEx.v10
BRCA1	0.305384	adipose_subcutaneous	GTEx.v10
BRCA1	0.396675	adipose_subcutaneous	GTEx.v10
BRCA1	0.837517	adipose_subcutaneous	GTEx.v10
BRCA1	0.770378	adipose_subcutaneous	GTEx.v10
BRCA1	0.856909	adipose_subcutaneous	GTEx.v10
BRCA1	1.75258	adipose_subcutaneous	GTEx.v10
BRCA1	2.17215	adipose_subcutaneous	GTEx.v10
BRCA1	1.20001	adipose_subcutaneous	GTEx.v10
BRCA1	2.02602	adipose_subcutaneous	GTEx.v10
BRCA1	1.15241	adipose_subcutaneous	GTEx.v10
BRCA1	2.72024	adipose_subcutaneous	GTEx.v10
BRCA1	2.15315	adipose_subcutaneous	GTEx.v10
BRCA1	1.34614	adipose_subcutaneous	GTEx.v10
BRCA1	1.33942	adipose_subcutaneous	GTEx.v10
BRCA1	0.888161	adipose_subcutaneous	GTEx.v10
BRCA1	1.93117	adipose_subcutaneous	GTEx.v10
BRCA1	1.74079	adipose_subcutaneous	GTEx.v10
BRCA1	2.90427	adipose_subcutaneous	GTEx.v10
BRCA1	1.20354	adipose_subcutaneous	GTEx.v10
BRCA1	1.54549	adipose_subcutaneous	GTEx.v10
BRCA1	1.26688	adipose_subcutaneous	GTEx.v10
BRCA1	1.27143	adipose_subcutaneous	GTEx.v10
BRCA1	0.649743	adipose_subcutaneous	GTEx.v10
BRCA1	0.81919	adipose_subcutaneous	GTEx.v10
BRCA1	1.21264	adipose_subcutaneous	GTEx.v10
BRCA1	2.04857	adipose_subcutaneous	GTEx.v10
BRCA1	1.97819	adipose_subcutaneous	GTEx.v10
BRCA1	1.52568	adipose_subcutaneous	GTEx.v10
BRCA1	1.42131	adipose_subcutaneous	GTEx.v10
BRCA1	1.25089	adipose_subcutaneous	GTEx.v10
BRCA1	1.55191	adipose_subcutaneous	GTEx.v10
BRCA1	2.12064	adipose_subcutaneous	GTEx.v10
BRCA1	1.11481	adipose_subcutaneous	GTEx.v10
BRCA1	2.62516	adipose_subcutaneous	GTEx.v10
BRCA1	1.77972	adipose_subcutaneous	GTEx.v10
BRCA1	1.65139	adipose_subcutaneous	GTEx.v10
BRCA1	1.51547	adipose_subcutaneous	GTEx.v10
BRCA1	1.36326	adipose_subcutaneous	GTEx.v10
BRCA1	2.10024	adipose_subcutaneous	GTEx.v10
BRCA1	1.54504	adipose_subcutaneous	GTEx.v10
BRCA1	1.51182	adipose_subcutaneous	GTEx.v10
BRCA1	1.47798	adipose_subcutaneous	GTEx.v10
BRCA1	1.84145	adipose_subcutaneous	GTEx.v10
BRCA1	0.265599	adipose_subcutaneous	GTEx.v10
BRCA1	1.87853	adipose_subcutaneous	GTEx.v10
BRCA1	0.986052	adipose_subcutaneous	GTEx.v10
BRCA1	2.01717	adipose_subcutaneous	GTEx.v10
BRCA1	1.75046	adipose_subcutaneous	GTEx.v10
BRCA1	1.06802	adipose_subcutaneous	GTEx.v10
BRCA1	1.75488	adipose_subcutaneous	GTEx.v10
BRCA1	1.47059	adipose_subcutaneous	GTEx.v10
BRCA1	1.04342	adipose_subcutaneous	GTEx.v10
BRCA1	1.54758	adipose_subcutaneous	GTEx.v10
BRCA1	1.54481	adipose_subcutaneous	GTEx.v10
BRCA1	0.919237	adipose_subcutaneous	GTEx.v10
BRCA1	1.39752	adipose_subcutaneous	GTEx.v10
